******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.449        0.000      270.387     1195.309
       0.451        0.000      270.387     1195.309
       0.451        0.000      270.387     1195.309
       0.451        0.000      270.387     1195.309
       0.453        0.000      270.387     1195.309
       0.453        0.000      270.387     1195.309
       0.454        0.000      270.387     1195.309
       0.454        0.000      270.387     1195.309
       0.457        0.000      270.387     1195.309
       0.457        0.000      270.387     1195.309
       0.458        0.000      270.387     1195.309
       0.458        0.000      270.387     1195.309
       0.459        0.000      270.387     1195.309
       0.459        0.000      270.387     1195.309
       0.459        0.000      270.387     1195.309
       0.459        0.000      270.387     1195.309
       0.460        0.000      270.387     1195.309
       0.460        0.000      270.387     1195.309
       0.462        0.000      270.387     1195.309
       0.462        0.000      270.387     1195.309
       0.463        0.000      270.387     1195.309
       0.463        0.000      270.387     1195.309
       0.463        0.000      270.387     1195.309
       0.464        0.000      270.387     1195.309
       0.464        0.000      270.387     1195.309
       0.464        0.000      270.387     1195.309
       0.464        0.000      270.387     1195.309
       0.469        0.000      270.387     1195.309
       0.469        0.000      270.387     1195.309
       0.469        0.000      270.387     1195.309
       0.470        0.000      270.387     1195.309
       0.470        0.000      270.387     1195.309
       0.470        0.000      270.387     1195.309
       0.473        0.000      270.387     1195.309
       0.473        0.000      270.387     1195.309
       0.474        0.000      270.387     1195.309
       0.476        0.000      270.387     1195.309
       0.477        0.000      270.387     1195.309
       0.477        0.000      270.387     1195.309
       0.477        0.000      270.387     1195.309
       0.478        0.000      270.387     1195.309
       0.478        0.000      270.387     1195.309
       0.478        0.000      270.387     1195.309
       0.479        0.000      270.387     1195.309
       0.479        0.000      270.387     1195.309
       0.479        0.000      270.387     1195.309
       0.480        0.000      270.387     1195.309
       0.480        0.000      270.387     1195.309
       0.482        0.000      270.387     1195.309
       0.483        0.000      270.387     1195.309
       0.483        0.000      270.387     1195.309
       0.483        0.000      270.387     1195.309
       0.483        0.000      270.387     1195.309
       0.484        0.000      270.387     1195.309
       0.484        0.000      270.387     1195.309
       0.484        0.000      270.387     1195.309
       0.485        0.000      270.387     1195.309
       0.489        0.000      270.387     1195.309
       0.489        0.000      270.387     1195.309
       0.490        0.000      270.387     1195.309
       0.490        0.000      270.387     1195.309
       0.490        0.000      270.387     1195.309
       0.492        0.000      270.387     1195.309
       0.493        0.000      270.387     1195.309
       0.493        0.000      270.387     1195.309
       0.493        0.000      270.387     1195.309
       0.494        0.000      270.387     1195.309
       0.494        0.000      270.387     1195.309
       0.496        0.000      270.387     1195.309
       0.496        0.000      270.387     1195.309
       0.497        0.000      270.387     1195.309
       0.501        0.000      270.387     1195.309
       0.501        0.000      270.387     1195.309
       0.502        0.000      270.387     1195.309
       0.502        0.000      270.387     1195.309
       0.502        0.000      270.387     1195.309
       0.503        0.000      270.387     1195.309
       0.503        0.000      270.387     1195.309
       0.504        0.000      270.387     1195.309
       0.504        0.000      270.387     1195.309
       0.504        0.000      270.387     1195.309
       0.504        0.000      270.387     1195.309
       0.509        0.000      270.387     1195.309
       0.509        0.000      270.387     1195.309
       0.509        0.000      270.387     1195.309
       0.510        0.000      270.387     1195.309
       0.510        0.000      270.387     1195.309
       0.510        0.000      270.387     1195.309
       0.511        0.000      270.387     1195.309
       0.511        0.000      270.387     1195.309
       0.512        0.000      270.387     1195.309
       0.512        0.000      270.387     1195.309
       0.512        0.000      270.387     1195.309
       0.513        0.000      270.387     1195.309
       0.513        0.000      270.387     1195.309
       0.513        0.000      270.387     1195.309
       0.514        0.000      270.387     1195.309
       0.514        0.000      270.387     1195.309
       0.517        0.000      270.387     1195.309
       0.518        0.000      270.387     1195.309
       0.518        0.000      270.387     1195.309
       0.518        0.000      270.387     1195.309
       0.518        0.000      270.387     1195.309
       0.519        0.000      270.387     1195.309
       0.519        0.000      270.387     1195.309
       0.519        0.000      270.387     1195.309
       0.520        0.000      270.387     1195.309
       0.520        0.000      270.387     1195.309
       0.520        0.000      270.387     1195.309
       0.521        0.000      270.387     1195.309
       0.524        0.000      270.387     1195.309
       0.524        0.000      270.387     1195.309
       0.524        0.000      270.387     1195.309
       0.526        0.000      270.387     1195.309
       0.527        0.000      270.387     1195.309
       0.527        0.000      270.387     1195.309
       0.527        0.000      270.387     1195.309
       0.528        0.000      270.387     1195.309
       0.528        0.000      270.387     1195.309
       0.528        0.000      270.387     1195.309
       0.529        0.000      270.387     1195.309
       0.531        0.000      270.387     1195.309
       0.531        0.000      270.387     1195.309
       0.532        0.000      270.387     1195.309
       0.532        0.000      270.387     1195.309
       0.532        0.000      270.387     1195.309
       0.532        0.000      270.387     1195.309
       0.537        0.000      270.387     1195.309
       0.537        0.000      270.387     1195.309
       0.538        0.000      270.387     1195.309
       0.538        0.000      270.387     1195.309
       0.538        0.000      270.387     1195.309
       0.538        0.000      270.387     1195.309
       0.539        0.000      270.387     1195.309
       0.539        0.000      270.387     1195.309
       0.539        0.000      270.387     1195.309
       0.540        0.000      270.387     1195.309
       0.540        0.000      270.387     1195.309
       0.540        0.000      270.387     1195.309
       0.541        0.000      270.387     1195.309
       0.545        0.000      270.387     1195.309
       0.545        0.000      270.387     1195.309
       0.546        0.000      270.387     1195.309
       0.546        0.000      270.387     1195.309
       0.546        0.000      270.387     1195.309
       0.547        0.000      270.387     1195.309
       0.547        0.000      270.387     1195.309
       0.548        0.000      270.387     1195.309
       0.549        0.000      270.387     1195.309
       0.551        0.000      270.387     1195.309
       0.552        0.000      270.387     1195.309
       0.552        0.000      270.387     1195.309
       0.552        0.000      270.387     1195.309
       0.553        0.000      270.387     1195.309
       0.553        0.000      270.387     1195.309
       0.554        0.000      270.387     1195.309
       0.554        0.000      270.387     1195.309
       0.554        0.000      270.387     1195.309
       0.557        0.000      270.387     1195.309
       0.557        0.000      270.387     1195.309
       0.558        0.000      270.387     1195.309
       0.558        0.000      270.387     1195.309
       0.558        0.000      270.387     1195.309
       0.559        0.000      270.387     1195.309
       0.559        0.000      270.387     1195.309
       0.559        0.000      270.387     1195.309
       0.559        0.000      270.387     1195.309
       0.560        0.000      270.387     1195.309
       0.560        0.000      270.387     1195.309
       0.560        0.000      270.387     1195.309
       0.561        0.000      270.387     1195.309
       0.565        0.000      270.387     1195.309
       0.565        0.000      270.387     1195.309
       0.566        0.000      270.387     1195.309
       0.566        0.000      270.387     1195.309
       0.566        0.000      270.387     1195.309
       0.567        0.000      270.387     1195.309
       0.569        0.000      270.387     1195.309
       0.569        0.000      270.387     1195.309
       0.570        0.000      270.387     1195.309
       0.570        0.000      270.387     1195.309
       0.570        0.000      270.387     1195.309
       0.573        0.000      270.387     1195.309
       0.573        0.000      270.387     1195.309
       0.574        0.000      270.387     1195.309
       0.574        0.000      270.387     1195.309
       0.574        0.000      270.387     1195.309
       0.577        0.000      270.387     1195.309
       0.577        0.000      270.387     1195.309
       0.577        0.000      270.387     1195.309
       0.578        0.000      270.387     1195.309
       0.578        0.000      270.387     1195.309
       0.578        0.000      270.387     1195.309
       0.579        0.000      270.387     1195.309
       0.579        0.000      270.387     1195.309
       0.579        0.000      270.387     1195.309
       0.579        0.000      270.387     1195.309
       0.580        0.000      270.387     1195.309
       0.580        0.000      270.387     1195.309
       0.584        0.000      270.387     1195.309
       0.584        0.000      270.387     1195.309
       0.584        0.000      270.387     1195.309
       0.585        0.000      270.387     1195.309
       0.589        0.000      270.387     1195.309
       0.589        0.000      270.387     1195.309
       0.590        0.000      270.387     1195.309
       0.590        0.000      270.387     1195.309
       0.590        0.000      270.387     1195.309
       0.591        0.000      270.387     1195.309
       0.591        0.000      270.387     1195.309
       0.592        0.000      270.387     1195.309
       0.592        0.000      270.387     1195.309
       0.592        0.000      270.387     1195.309
       0.593        0.000      270.387     1195.309
       0.594        0.000      270.387     1195.309
       0.594        0.000      270.387     1195.309
       0.594        0.000      270.387     1195.309
       0.596        0.000      270.387     1195.309
       0.597        0.000      270.387     1195.309
       0.601        0.000      270.387     1195.309
       0.601        0.000      270.387     1195.309
       0.602        0.000      270.387     1195.309
       0.602        0.000      270.387     1195.309
       0.602        0.000      270.387     1195.309
       0.603        0.000      270.387     1195.309
       0.603        0.000      270.387     1195.309
       0.603        0.000      270.387     1195.309
       0.604        0.000      270.387     1195.309
       0.604        0.000      270.387     1195.309
       0.604        0.000      270.387     1195.309
       0.605        0.000      270.387     1195.309
       0.605        0.000      270.387     1195.309
       0.605        0.000      270.387     1195.309
       0.606        0.000      270.387     1195.309
       0.606        0.000      270.387     1195.309
       0.606        0.000      270.387     1195.309
       0.607        0.000      270.387     1195.309
       0.607        0.000      270.387     1195.309
       0.607        0.000      270.387     1195.309
       0.608        0.000      270.387     1195.309
       0.608        0.000      270.387     1195.309
       0.608        0.000      270.387     1195.309
       0.609        0.000      270.387     1195.309
       0.613        0.000      270.387     1195.309
       0.613        0.000      270.387     1195.309
       0.614        0.000      270.387     1195.309
       0.617        0.000      270.387     1195.309
       0.617        0.000      270.387     1195.309
       0.618        0.000      270.387     1195.309
       0.618        0.000      270.387     1195.309
       0.618        0.000      270.387     1195.309
       0.619        0.000      270.387     1195.309
       0.619        0.000      270.387     1195.309
       0.619        0.000      270.387     1195.309
       0.619        0.000      270.387     1195.309
       0.620        0.000      270.387     1195.309
       0.620        0.000      270.387     1195.309
       0.620        0.000      270.387     1195.309
       0.621        0.000      270.387     1195.309
       0.624        0.000      270.387     1195.309
       0.625        0.000      270.387     1195.309
       0.625        0.000      270.387     1195.309
       0.625        0.000      270.387     1195.309
       0.626        0.000      270.387     1195.309
       0.626        0.000      270.387     1195.309
       0.626        0.000      270.387     1195.309
       0.626        0.000      270.387     1195.309
       0.629        0.000      270.387     1195.309
       0.629        0.000      270.387     1195.309
       0.630        0.000      270.387     1195.309
       0.630        0.000      270.387     1195.309
       0.630        0.000      270.387     1195.309
       0.633        0.000      270.387     1195.309
       0.633        0.000      270.387     1195.309
       0.634        0.000      270.387     1195.309
       0.635        0.000      270.387     1195.309
       0.636        0.000      270.387     1195.309
       0.636        0.000      270.387     1195.309
       0.637        0.000      270.387     1195.309
       0.637        0.000      270.387     1195.309
       0.638        0.000      270.387     1195.309
       0.638        0.000      270.387     1195.309
       0.638        0.000      270.387     1195.309
       0.639        0.000      270.387     1195.309
       0.639        0.000      270.387     1195.309
       0.639        0.000      270.387     1195.309
       0.640        0.000      270.387     1195.309
       0.640        0.000      270.387     1195.309
       0.640        0.000      270.387     1195.309
       0.640        0.000      270.387     1195.309
       0.645        0.000      270.387     1195.309
       0.645        0.000      270.387     1195.309
       0.646        0.000      270.387     1195.309
       0.647        0.000      270.387     1195.309
       0.649        0.000      270.387     1195.309
       0.649        0.000      270.387     1195.309
       0.650        0.000      270.387     1195.309
       0.650        0.000      270.387     1195.309
       0.650        0.000      270.387     1195.309
       0.650        0.000      270.387     1195.309
       0.652        0.000      270.387     1195.309
       0.652        0.000      270.387     1195.309
       0.652        0.000      270.387     1195.309
       0.652        0.000      270.387     1195.309
       0.654        0.000      270.387     1195.309
       0.655        0.000      270.387     1195.309
       0.657        0.000      270.387     1195.309
       0.657        0.000      270.387     1195.309
       0.658        0.000      270.387     1195.309
       0.658        0.000      270.387     1195.309
       0.658        0.000      270.387     1195.309
       0.658        0.000      270.387     1195.309
       0.659        0.000      270.387     1195.309
       0.659        0.000      270.387     1195.309
       0.659        0.000      270.387     1195.309
       0.660        0.000      270.387     1195.309
       0.660        0.000      270.387     1195.309
       0.660        0.000      270.387     1195.309
       0.661        0.000      270.387     1195.309
       0.665        0.000      270.387     1195.309
       0.665        0.000      270.387     1195.309
       0.665        0.000      270.387     1195.309
       0.666        0.000      270.387     1195.309
       0.666        0.000      270.387     1195.309
       0.666        0.000      270.387     1195.309
       0.667        0.000      270.387     1195.309
       0.667        0.000      270.387     1195.309
       0.667        0.000      270.387     1195.309
       0.668        0.000      270.387     1195.309
       0.668        0.000      270.387     1195.309
       0.668        0.000      270.387     1195.309
       0.668        0.000      270.387     1195.309
       0.673        0.000      270.387     1195.309
       0.673        0.000      270.387     1195.309
       0.673        0.000      270.387     1195.309
       0.674        0.000      270.387     1195.309
       0.674        0.000      270.387     1195.309
       0.674        0.000      270.387     1195.309
       0.677        0.000      270.387     1195.309
       0.677        0.000      270.387     1195.309
       0.678        0.000      270.387     1195.309
       0.678        0.000      270.387     1195.309
       0.678        0.000      270.387     1195.309
       0.679        0.000      270.387     1195.309
       0.679        0.000      270.387     1195.309
       0.679        0.000      270.387     1195.309
       0.679        0.000      270.387     1195.309
       0.680        0.000      270.387     1195.309
       0.680        0.000      270.387     1195.309
       0.680        0.000      270.387     1195.309
       0.685        0.000      270.387     1195.309
       0.685        0.000      270.387     1195.309
       0.686        0.000      270.387     1195.309
       0.686        0.000      270.387     1195.309
       0.686        0.000      270.387     1195.309
       0.687        0.000      270.387     1195.309
       0.687        0.000      270.387     1195.309
       0.687        0.000      270.387     1195.309
       0.688        0.000      270.387     1195.309
       0.688        0.000      270.387     1195.309
       0.688        0.000      270.387     1195.309
